Robot Position_pitch,Robot Position_roll,Robot Position_x,Robot Position_y,Robot Position_yaw,Robot Position_z
-2.12364369307031,176.290115356445,920.488119628906,187.550430175781,-40.1073961753845,992.524536132812
-2.12362919028489,176.290115356445,920.487995117188,187.550814086914,-40.1073819274902,992.524536132812
-2.12360942094288,176.290113342285,920.488002441406,187.550756347656,-40.107390625,992.524509765625
-2.12358405576919,176.290104288737,920.488085449219,187.550357177734,-40.1074243469238,992.524426757813
-2.12357568118557,176.290090515137,920.488088806152,187.550193603516,-40.1074273929596,992.5244140625
-2.12357243825429,176.290072102865,920.488051269531,187.550117919922,-40.1074199829102,992.5244140625
-2.1235685209679,176.290072875977,920.488018798828,187.550112754966,-40.1074168071747,992.524427246094
-2.12356381898655,176.290083251953,920.48798828125,187.550129689343,-40.1074152962821,992.52446875
-2.12355156613343,176.290084838867,920.487953918457,187.550317105275,-40.1074083404541,992.524463050579
-2.12352233094392,176.290084838867,920.487919433594,187.550839525907,-40.1073935285296,992.524394817484
-2.12347606914159,176.290053397731,920.488178710938,187.550860035309,-40.1073921813965,992.523963656721
-2.12341079086636,176.289951203999,920.489008789062,187.550632222269,-40.1073947753906,992.522869191137
-2.12338666381516,176.289926993219,920.489078521729,187.550468229138,-40.1073945760727,992.522771835327
-2.12337715851497,176.289922574188,920.488864474826,187.550344820798,-40.1073923464175,992.523021556713
-2.12336241739987,176.289914141957,920.488777937712,187.550138011835,-40.107393083749,992.523126319603
-2.12332990799321,176.289884143405,920.488983154297,187.549499475731,-40.1074352264404,992.522979736328
-2.12328709148131,176.289846786256,920.489188370881,187.548956357042,-40.1074773691319,992.522833153054
-2.1232366607255,176.289818702622,920.489117657697,187.548998232241,-40.107474150481,992.522955246914
-2.12317930056354,176.289793377831,920.488939285278,187.549140930176,-40.1074630022049,992.523284912109
-2.12314065353505,176.289771644437,920.488896122685,187.5491643835,-40.1074614348235,992.523501315414
-2.12311900093297,176.289754549662,920.488929677893,187.549055329076,-40.1074719208258,992.523633042783
-2.12308979034424,176.289733886719,920.488952636719,187.548980712891,-40.107479095459,992.523742675781
-2.12300513291471,176.289696992957,920.488952636719,187.549038390581,-40.1074466705322,992.523860712038
-2.12291121482849,176.289657592773,920.488952636719,187.549118041992,-40.1074142456055,992.52392578125
-2.12286522578803,176.289633016492,920.488952636719,187.549161694863,-40.1074156805321,992.523879863598
-2.1228259443991,176.289609464773,920.488952636719,187.549191126059,-40.1074177777326,992.523812753183
-2.12276020421942,176.289565778316,920.488952636719,187.549126977506,-40.1074168682098,992.523822784424
-2.12266371359264,176.289493897538,920.488952636719,187.54884581635,-40.1074124088994,992.523894133391
-2.12258334452957,176.289434792763,920.488954345703,187.548611583832,-40.1074104309082,992.523921383282
-2.12252781324781,176.289395459974,920.4889921875,187.54845224327,-40.1074104309082,992.523818792676
-2.12247646559638,176.289360859105,920.489011270029,187.548381338104,-40.1074105810236,992.523735156233
-2.12242841601499,176.289329475874,920.488952636719,187.548369324705,-40.1074142456055,992.523709580981
-2.12237589773916,176.289298166163,920.488894003409,187.548358751061,-40.1074179101873,992.523687585204
-2.12230187855037,176.289261586676,920.488915802091,187.548324652125,-40.1074074725715,992.523650221045
-2.12220919180284,176.289221694387,920.488978082863,187.548262804957,-40.1073802247339,992.523602526828
-2.12212419509888,176.289184570312,920.489013671875,187.548202514648,-40.107364654541,992.523559570312
-2.1220627951622,176.28915478291,920.488983154297,187.548162511552,-40.1073760986328,992.523530336645
-2.12199735641479,176.289123535156,920.488952636719,187.548110961914,-40.1073875427246,992.523498535156
-2.12188699000699,176.28907623291,920.489003499349,187.547917333143,-40.1073718070984,992.523442586263
-2.12177848815918,176.289031982422,920.489074707031,187.547760009766,-40.1073455810547,992.523376464844
-2.12171536496177,176.289004780192,920.489103086758,187.547775268555,-40.107319355011,992.523317195167
-2.1216607093811,176.288986206055,920.489135742188,187.547790527344,-40.1073036193848,992.523254394531
-2.12160066832225,176.28897590539,920.489267836529,187.547488033772,-40.1073114424944,992.523161371877
-2.1215406249912,176.288967913667,920.489318847656,187.547349609375,-40.1073116570834,992.523138671875
-2.12148226963898,176.288961276409,920.489318847656,187.547359985352,-40.1072842280947,992.523180175781
-2.12140140409355,176.288948730469,920.489330566406,187.547337890625,-40.1072543819587,992.523181640625
-2.1212797102729,176.288921722412,920.489428756714,187.547171875,-40.1072245622417,992.523083450317
