Robot Position_pitch,Robot Position_roll,Robot Position_x,Robot Position_y,Robot Position_yaw,Robot Position_z
176.814880371094,992.809204101562,-7.82800710760724,919.444641113281,-3.54602909088135,183.798080444336
176.814849853516,992.809204101562,-7.83311124346525,919.444641113281,-3.54603099822998,183.798049926758
176.814865112305,992.809265136719,-7.83055917553625,919.444946289062,-3.54606509208679,183.797317504883
176.814849853516,992.809020996094,-7.82800710760724,919.445007324219,-3.54606628417969,183.797302246094
176.814849853516,992.809265136719,-7.82035090382023,919.445068359375,-3.54607939720154,183.796859741211
176.814865112305,992.809387207031,-7.82545503967824,919.4453125,-3.54609823226929,183.79638671875
176.814834594727,992.809204101562,-7.82545503967824,919.445434570312,-3.54610705375671,183.796249389648
176.814849853516,992.809143066406,-7.83311124346525,919.445617675781,-3.5460946559906,183.795928955078
176.814834594727,992.809326171875,-7.82290297174923,919.445556640625,-3.5461049079895,183.795684814453
176.814834594727,992.809326171875,-7.82290297174923,919.445739746094,-3.54613852500915,183.79508972168
176.814804077148,992.809143066406,-7.83311124346525,919.445922851562,-3.5461368560791,183.794784545898
176.814804077148,992.809265136719,-7.82545503967824,919.445922851562,-3.54616093635559,183.794616699219
176.814804077148,992.809265136719,-7.82800710760724,919.446166992188,-3.5461688041687,183.794250488281
176.814804077148,992.809265136719,-7.82290297174923,919.446166992188,-3.54617762565613,183.793899536133
176.814804077148,992.809326171875,-7.82545503967824,919.446350097656,-3.54617047309875,183.793563842773
176.814804077148,992.809326171875,-7.83311124346525,919.446533203125,-3.54619741439819,183.793426513672
176.814788818359,992.809326171875,-7.82545503967824,919.446533203125,-3.54619383811951,183.793212890625
176.814804077148,992.809448242188,-7.82290297174923,919.446655273438,-3.5462064743042,183.792938232422
176.814788818359,992.809326171875,-7.82800710760724,919.446899414062,-3.54620337486267,183.792465209961
176.814804077148,992.809387207031,-7.82545503967824,919.447021484375,-3.54622030258179,183.792144775391
176.81477355957,992.809509277344,-7.83311124346525,919.446899414062,-3.54623222351074,183.791839599609
176.814788818359,992.809631347656,-7.82545503967824,919.447021484375,-3.54624152183533,183.791870117188
176.814788818359,992.8095703125,-7.82290297174923,919.447265625,-3.54627203941345,183.79118347168
176.814758300781,992.809509277344,-7.82290297174923,919.447387695312,-3.5462634563446,183.790908813477
176.814758300781,992.809448242188,-7.82545503967824,919.447570800781,-3.54626631736755,183.790634155273
176.814758300781,992.809509277344,-7.83055917553625,919.447570800781,-3.54627656936646,183.790298461914
176.814758300781,992.809631347656,-7.82545503967824,919.447814941406,-3.54631495475769,183.789505004883
176.814727783203,992.809509277344,-7.82290297174923,919.447875976562,-3.54630494117737,183.789520263672
176.814743041992,992.809631347656,-7.82035090382023,919.447875976562,-3.54631185531616,183.789321899414
176.814743041992,992.809753417969,-7.82290297174923,919.448059082031,-3.54631876945496,183.789031982422
176.814743041992,992.809692382812,-7.82800710760724,919.448120117188,-3.54632782936096,183.788711547852
176.814712524414,992.809692382812,-7.82800710760724,919.448181152344,-3.54631876945496,183.788513183594
176.814712524414,992.809692382812,-7.83311124346525,919.448486328125,-3.54634165763855,183.787979125977
176.814697265625,992.8095703125,-7.82545503967824,919.448608398438,-3.54636335372925,183.78759765625
176.814712524414,992.809692382812,-7.82035090382023,919.448608398438,-3.54635715484619,183.787658691406
176.814682006836,992.8095703125,-7.82545503967824,919.448852539062,-3.54636144638061,183.787017822266
176.814682006836,992.809753417969,-7.83311124346525,919.448791503906,-3.54638075828552,183.786972045898
-3.04281663894653,176.408920288086,921.491943359375,183.089553833008,-47.6661338806152,992.93115234375
-3.04281997680664,176.408905029297,921.492065429688,183.089019775391,-47.666145324707,992.931091308594
-3.04281330108643,176.408905029297,921.491943359375,183.089736938477,-47.6661109924316,992.931030273438
-3.04280829429627,176.408905029297,921.491943359375,183.089447021484,-47.666130065918,992.931091308594
-3.04281282424927,176.408920288086,921.491943359375,183.089767456055,-47.6661109924316,992.931091308594
-3.04281091690064,176.408889770508,921.492065429688,183.089447021484,-47.6661415100098,992.930969238281
-3.0427987575531,176.408905029297,921.492004394531,183.089813232422,-47.6660957336426,992.930969238281
-3.04281711578369,176.408905029297,921.492065429688,183.089431762695,-47.6661186218262,992.931030273438
-3.04281330108643,176.408905029297,921.492004394531,183.089431762695,-47.666130065918,992.931030273438
-3.04281377792358,176.408905029297,921.491943359375,183.089736938477,-47.6661224365234,992.931030273438
-3.04280543327331,176.408905029297,921.492065429688,183.089263916016,-47.6661415100098,992.931030273438
-3.04281258583069,176.408905029297,921.492065429688,183.089324951172,-47.6661262512207,992.931030273438
-3.04280734062195,176.408889770508,921.492065429688,183.089752197266,-47.6661109924316,992.930908203125
-3.04281091690064,176.408889770508,921.492065429688,183.089340209961,-47.6661491394043,992.930969238281
-3.04279971122742,176.408889770508,921.492126464844,183.089279174805,-47.6661415100098,992.930908203125
-3.04280614852905,176.408905029297,921.492004394531,183.089553833008,-47.6661338806152,992.93115234375
-3.04280209541321,176.408889770508,921.492004394531,183.089645385742,-47.6661071777344,992.930969238281
-3.04280209541321,176.408889770508,921.492065429688,183.089340209961,-47.6661262512207,992.930969238281
-3.04280567169189,176.408889770508,921.492004394531,183.089218139648,-47.6661338806152,992.931091308594
-3.04280066490173,176.408874511719,921.492065429688,183.089447021484,-47.666130065918,992.930969238281
-3.04279375076294,176.408889770508,921.492065429688,183.089569091797,-47.6661033630371,992.930969238281
-3.04280519485474,176.408889770508,921.492065429688,183.089126586914,-47.6661415100098,992.931091308594
-3.04277539253235,176.408874511719,921.492004394531,183.089294433594,-47.666130065918,992.930969238281
-3.04279708862305,176.408874511719,921.492065429688,183.089553833008,-47.6661148071289,992.930847167969
-3.04279351234436,176.408874511719,921.492309570312,183.089065551758,-47.666145324707,992.930786132812
-3.04280209541321,176.408889770508,921.492126464844,183.08903503418,-47.666145324707,992.930969238281
-3.0427930355072,176.408874511719,921.492065429688,183.089126586914,-47.6661415100098,992.931030273438
-3.04279804229736,176.408874511719,921.492248535156,183.089477539062,-47.6661186218262,992.930908203125
-3.04278182983398,176.40885925293,921.492126464844,183.089172363281,-47.6661376953125,992.931030273438
-3.04279375076294,176.408889770508,921.4921875,183.089080810547,-47.666145324707,992.931213378906
-3.04277229309082,176.408843994141,921.492126464844,183.089279174805,-47.6661338806152,992.931030273438
-3.04277086257935,176.408843994141,921.492248535156,183.089309692383,-47.6661338806152,992.930847167969
-3.04278087615967,176.408843994141,921.492309570312,183.089080810547,-47.666145324707,992.930908203125
-3.04277443885803,176.40885925293,921.4921875,183.089080810547,-47.666145324707,992.931091308594
-3.04277920722961,176.408843994141,921.492248535156,183.088958740234,-47.6661529541016,992.930969238281
-3.04276442527771,176.408843994141,921.492309570312,183.089309692383,-47.6661109924316,992.930847167969
-3.04277205467224,176.408828735352,921.492370605469,183.088973999023,-47.666130065918,992.930847167969
-3.04275965690613,176.408843994141,921.492431640625,183.08854675293,-47.6661720275879,992.930908203125
-3.04275441169739,176.408843994141,921.492431640625,183.089065551758,-47.6661491394043,992.930786132812
-3.04277420043945,176.408843994141,921.492309570312,183.089080810547,-47.6661262512207,992.930908203125
-3.04276037216186,176.408843994141,921.492431640625,183.088439941406,-47.666187286377,992.930908203125
-3.04277420043945,176.408843994141,921.492431640625,183.088577270508,-47.6661567687988,992.930908203125
-3.04276371002197,176.408828735352,921.492614746094,183.08854675293,-47.6661834716797,992.930786132812
-3.04277300834656,176.408828735352,921.492492675781,183.088806152344,-47.666145324707,992.930908203125
-3.04276442527771,176.40885925293,921.492614746094,183.088363647461,-47.6661720275879,992.931030273438
-3.04275894165039,176.408828735352,921.492736816406,183.088470458984,-47.6661682128906,992.930847167969
-3.04275441169739,176.408828735352,921.492736816406,183.088363647461,-47.6661415100098,992.930908203125
-3.0427565574646,176.408828735352,921.492614746094,183.0888671875,-47.6661415100098,992.930908203125
-3.04275107383728,176.408798217773,921.492797851562,183.088348388672,-47.6661643981934,992.930725097656
-3.0427405834198,176.408798217773,921.492980957031,183.088409423828,-47.6661491394043,992.930541992188
-3.04273962974548,176.408798217773,921.492858886719,183.088394165039,-47.6661605834961,992.930603027344
-3.04272389411926,176.408782958984,921.492797851562,183.088516235352,-47.6661338806152,992.9306640625
-3.04272437095642,176.408752441406,921.492980957031,183.087860107422,-47.6661758422852,992.930541992188
-3.04270195960998,176.408752441406,921.493103027344,183.08837890625,-47.666145324707,992.930358886719
-3.04269099235535,176.408737182617,921.493286132812,183.088317871094,-47.6661605834961,992.93017578125
-3.04270815849304,176.408721923828,921.493530273438,183.087982177734,-47.6661605834961,992.93017578125
-3.04269051551819,176.408737182617,921.493591308594,183.087951660156,-47.6661758422852,992.930114746094
-3.04267883300781,176.408706665039,921.493774414062,183.087997436523,-47.6661758422852,992.929809570312
-3.04267597198486,176.408706665039,921.493835449219,183.087905883789,-47.6661796569824,992.929870605469
-3.04267144203186,176.408706665039,921.494140625,183.088073730469,-47.6661605834961,992.9296875
-3.04266810417175,176.408660888672,921.494262695312,183.087615966797,-47.666202545166,992.929504394531
-3.04265737533569,176.408676147461,921.494323730469,183.087478637695,-47.6662139892578,992.929626464844
-3.04263782501221,176.408645629883,921.49462890625,183.087768554688,-47.666187286377,992.929382324219
-3.04262733459473,176.408645629883,921.494750976562,183.087615966797,-47.6662101745605,992.929321289062
-3.04262590408325,176.408645629883,921.494873046875,183.087219238281,-47.6662139892578,992.929443359375
-3.04261255264282,176.408599853516,921.495239257812,183.087158203125,-47.6662216186523,992.929138183594
-3.04261803627014,176.408615112305,921.495422363281,183.087310791016,-47.6662254333496,992.929138183594
-3.04259872436523,176.408599853516,921.495727539062,183.086776733398,-47.666259765625,992.929016113281
-3.04260802268982,176.408599853516,921.495849609375,183.086456298828,-47.6662826538086,992.929138183594
-3.04258179664612,176.408554077148,921.496154785156,183.086212158203,-47.6663131713867,992.928955078125
-3.04257678985596,176.408538818359,921.496276855469,183.086547851562,-47.6662826538086,992.928955078125
-3.0425705909729,176.408554077148,921.496398925781,183.086090087891,-47.6663131713867,992.929016113281
-3.04255270957947,176.40852355957,921.496826171875,183.085754394531,-47.6663398742676,992.928894042969
-3.04255437850952,176.40852355957,921.496948242188,183.085571289062,-47.6663627624512,992.929016113281
-3.04254579544067,176.408508300781,921.497253417969,183.085433959961,-47.6663665771484,992.929077148438
-3.04254174232483,176.408477783203,921.497375488281,183.085098266602,-47.6663970947266,992.928955078125
-3.04254865646362,176.408493041992,921.497497558594,183.084716796875,-47.6664009094238,992.92919921875
-3.04250645637512,176.408447265625,921.497802734375,183.084609985352,-47.6664123535156,992.929016113281
-3.04252314567566,176.408462524414,921.498046875,183.084655761719,-47.6664123535156,992.929016113281
-3.04248428344727,176.408432006836,921.498291015625,183.084259033203,-47.6664428710938,992.928955078125
-3.04249739646912,176.408447265625,921.49853515625,183.083847045898,-47.6664695739746,992.929138183594
-3.0425021648407,176.408432006836,921.498596191406,183.083831787109,-47.6664695739746,992.929016113281
-3.04246282577515,176.408386230469,921.498901367188,183.083404541016,-47.66650390625,992.928955078125
-3.04246091842651,176.408386230469,921.499084472656,183.083236694336,-47.6665153503418,992.929138183594
-3.04245471954346,176.408355712891,921.499328613281,183.08283996582,-47.6665420532227,992.928894042969
-3.04246401786804,176.40837097168,921.499450683594,183.082656860352,-47.6665344238281,992.929138183594
-3.04241013526917,176.408340454102,921.499694824219,183.082611083984,-47.6665534973145,992.929077148438
-3.04243946075439,176.408325195312,921.499938964844,183.08203125,-47.6666030883789,992.92919921875
-3.0424325466156,176.408340454102,921.500122070312,183.081573486328,-47.6666221618652,992.929260253906
-3.04240798950195,176.408309936523,921.500305175781,183.081649780273,-47.666618347168,992.929138183594
-3.04238939285278,176.408294677734,921.50048828125,183.081207275391,-47.6666526794434,992.929321289062
-3.04239010810852,176.408279418945,921.500671386719,183.081008911133,-47.6666564941406,992.929321289062
-3.04238414764404,176.408279418945,921.500854492188,183.080307006836,-47.6666984558105,992.929382324219
-3.04234504699707,176.408248901367,921.500915527344,183.080703735352,-47.6666679382324,992.929138183594
-3.04234027862549,176.408233642578,921.501220703125,183.080459594727,-47.6666984558105,992.929260253906
-3.04233455657959,176.408203125,921.501220703125,183.079895019531,-47.6667327880859,992.929504394531
-3.04231524467468,176.408187866211,921.50146484375,183.079574584961,-47.6667556762695,992.929321289062
-3.04233646392822,176.408218383789,921.501403808594,183.079727172852,-47.6667366027832,992.929748535156
-3.04232501983643,176.408172607422,921.501647949219,183.079544067383,-47.666748046875,992.929443359375
-3.04227995872498,176.408142089844,921.501831054688,183.078918457031,-47.6667938232422,992.929504394531
-3.04228901863098,176.408157348633,921.502014160156,183.078323364258,-47.6668434143066,992.9296875
-3.04228615760803,176.408142089844,921.502014160156,183.078643798828,-47.6668243408203,992.929748535156
-3.04224944114685,176.408081054688,921.502319335938,183.078079223633,-47.6668510437012,992.929626464844
-3.04224586486816,176.408081054688,921.502563476562,183.077392578125,-47.6668968200684,992.929626464844
-3.04223680496216,176.408065795898,921.50244140625,183.077270507812,-47.6669044494629,992.929870605469
-3.04223227500915,176.408065795898,921.502807617188,183.077346801758,-47.6668930053711,992.929809570312
-3.04219150543213,176.408004760742,921.502685546875,183.077056884766,-47.6669006347656,992.929809570312
-3.04218935966492,176.408004760742,921.502807617188,183.076751708984,-47.6669311523438,992.929809570312
-3.04220104217529,176.408004760742,921.5029296875,183.07633972168,-47.6669616699219,992.929931640625
-3.0421667098999,176.407943725586,921.5029296875,183.076446533203,-47.6669540405273,992.929748535156
-3.04216074943542,176.407958984375,921.503112792969,183.075988769531,-47.6669845581055,992.929931640625
