Flexion,Posterior,Medial,Superior,Internal,Valgus
-10.7474224827393,860.555588935965,1576.30087652697,-5.29352897104368,-35.5235615988744,-0.545258910338425
-11.7028229240568,867.122275755964,1572.54556816969,-7.7647812976906,-35.7951351921989,-0.283226947238546
-12.6156886938533,879.893510337957,1565.19095975881,-13.201966578443,-36.2946573070968,0.0742888996612443
-13.4955886520855,896.092900015175,1555.59861951553,-22.586909273241,-36.920829098818,0.550660896820616
-14.3601785070626,913.675452219756,1544.88705123262,-33.6558026213798,-37.6021201709955,1.07786974004155
-15.2097973297379,929.400970826085,1534.9765005519,-46.1072596908138,-38.218038095066,1.64537843587921
-16.048533867163,947.704907091499,1522.9236962181,-59.8739897397488,-38.9350686112643,2.25638087356552
-16.8923306273814,967.121514933391,1509.73714279939,-71.6993648897056,-39.6999708957163,2.80311840342847
-17.7381291391837,978.43536143388,1501.49581193394,-86.2506437185515,-40.1632214846269,3.43740413371879
-18.5996379616126,993.654529377898,1490.42923839632,-96.5285252229957,-40.7751585839434,3.93715785079309
-19.4733375823746,1004.25140553885,1482.33764909495,-107.232345759724,-41.2093463644857,4.45279056465697
-20.3655934098607,1015.05956764041,1474.06385657069,-115.181258792832,-41.6479871148902,4.88281816593838
-21.2615990944879,1024.43219811177,1466.71558479712,-122.552471891452,-42.0300939727691,5.29412466078209
-22.1690243221618,1033.133180878,1459.73753871387,-129.614112197075,-42.384677519822,5.6973645494557
-23.0803501100837,1041.55557906641,1452.94101942299,-135.77034688287,-42.7265449912361,6.07152269962604
-23.9928254198761,1049.82114106842,1446.15909921204,-141.725703898332,-43.0601585513963,6.43919190016761
-24.9080477805504,1057.10453813623,1440.07348700389,-147.229600188415,-43.3530580449157,6.79222700007201
-25.831947129658,1063.98633750887,1434.25698012407,-152.243078835949,-43.6275146466374,7.13040185454217
-26.7610055794675,1070.35381690485,1428.80682207104,-156.902364038106,-43.8785679441809,7.45760281007802
-27.6982646614147,1075.91926553094,1423.96777854717,-161.28625441929,-44.0952656862246,7.77664748967924
-28.6335725643499,1081.09417140966,1419.3837271362,-165.610830661393,-44.2937559318821,8.09289930083381
-29.5665224540829,1086.09642850517,1414.93033047725,-169.758636829742,-44.4824685487755,8.40205722065723
-30.5048485448706,1090.92488538476,1410.58847822916,-173.774937214812,-44.661070116605,8.70734368945272
-31.4457701441451,1095.07148559416,1406.7407459503,-177.852475054197,-44.8103741813069,9.01433040181626
-32.3921116415056,1098.85753381839,1403.17823285808,-181.803707548064,-44.941821113776,9.317717250549
-33.336317795593,1102.30889372478,1399.8518596308,-185.800137563617,-45.056781280641,9.62123098606508
-34.2850596090501,1105.20709090452,1396.98675440553,-189.627923525019,-45.1468450633233,9.91903739352174
-35.2294667793441,1107.83104264685,1394.31426787959,-193.387615133666,-45.2233740565671,10.2131767539521
-36.184420046567,1110.23755588215,1391.83397008686,-197.104820202606,-45.2878850074747,10.5067675463508
-37.1366059884926,1112.74949655442,1389.24434447471,-200.757776031698,-45.3544699504627,10.7970923588879
-38.0880304468642,1115.56264348804,1386.36547072155,-204.515443381725,-45.4308775732428,11.0899782505326
-39.0351148815531,1118.06278503033,1383.71484289413,-208.378532994761,-45.4925740915231,11.3842616228132
-39.9914072282377,1120.40737499322,1381.144205105,-212.474281783079,-45.5456043478417,11.686618803516
-40.9434629296621,1122.05810021536,1379.13936019085,-216.608057760836,-45.5674784972858,11.9874807028904
-41.8982294838356,1123.41457780244,1377.37290343317,-220.813268920348,-45.5748031485884,12.2900931061388
-42.8533195871733,1124.56551251051,1375.74694075223,-225.053135499041,-45.5703946277947,12.5926347536048
-43.8129411369034,1124.94557067064,1374.77661482789,-229.20446069234,-45.5315927292834,12.8914999271377
-44.7719570574045,1124.90600014925,1374.17872345354,-233.251973380084,-45.4715542040063,13.1858848526241
-45.7400759656304,1124.47536409496,1373.88900344972,-237.36494866121,-45.3926108375058,13.4822344710841
-46.7069322722652,1123.13298444631,1374.36747458347,-241.472535815335,-45.2729455515479,13.7766746093951
