Flexion,Posterior,Medial,Superior,Internal,Valgus
-10.2803951296383,953.463606802287,1521.04183731071,-43.0776103518844,-38.8465193315549,0.574638992890611
-11.2177474418751,962.462757199992,1515.06947138386,-46.2431198281101,-39.2203277122134,0.853875092320072
-12.101639033714,977.097176053574,1505.15152442796,-55.485702610022,-39.815218552427,1.32570644793201
-12.9722700852007,994.483603916135,1493.03048534485,-65.1261657254566,-40.5182355395638,1.80836968924736
-13.8316284755055,1008.94829164022,1482.52745828538,-76.7116825861351,-41.1143346953947,2.35070365965365
-14.690645307868,1023.04193259712,1471.96707414728,-88.2455357368654,-41.7018832384602,2.89041303172227
-15.5449430065867,1036.87082413692,1461.23816793054,-100.203914254523,-42.285068139463,3.44354662961368
-16.4059905727108,1050.6915304059,1450.21978955942,-111.2589493622,-42.8740486944422,3.96866174313875
-17.2598817330373,1065.71343710769,1437.90262560071,-122.586350218346,-43.5107296723636,4.502959349418
-18.12386892682,1078.62004546379,1426.96179329879,-133.235592913582,-44.0654506433248,5.01561340332855
-18.9965984337617,1090.90392386405,1416.33311171556,-142.807816107445,-44.5968126369962,5.49425742365158
-19.8770668446878,1100.85195295485,1407.3537568258,-152.004165381264,-45.0335770076083,5.96259041627265
-20.7744632087751,1110.52804814391,1398.69210767663,-159.096122937961,-45.4525565423082,6.36504771635003
-21.6703428156759,1120.45564952259,1389.63838660774,-166.28709634841,-45.882858434403,6.76964591925814
-22.5715183904398,1129.74465546866,1381.00615300916,-173.004643874962,-46.2869049936954,7.16022690797699
-23.4746775861069,1139.28858399983,1372.06384585994,-179.204345456326,-46.700007311067,7.53405144589392
-24.3827986029247,1147.80293647284,1363.88798470224,-185.342578687653,-47.0698380709345,7.90629758604596
-25.2963017380585,1156.41412159513,1355.53072695626,-191.118001203539,-47.4428257926792,8.26738793756664
-26.2085407626253,1164.33628744398,1347.67926865458,-196.864487100894,-47.7861044206593,8.62676703191648
-27.119702067151,1171.93310145238,1340.03126472444,-202.348118270341,-48.1149216554141,8.97716287881099
-28.0379457555294,1178.91598349377,1332.85392761413,-207.772728792853,-48.4160940642685,9.32626059689877
-28.9607045357602,1185.28861959618,1326.19492793316,-212.833244506472,-48.6884957647523,9.66419305018013
-29.8896875646739,1191.7976963743,1319.37568569884,-217.553364255342,-48.9642718227504,9.99163164600002
-30.8133451608067,1197.18273437639,1313.5186968828,-222.437013794796,-49.1905902759991,10.3223177447884
-31.7418247850467,1202.38553272647,1307.78375769541,-227.27307081675,-49.4074425459514,10.6515463579067
-32.6734587185931,1207.34425035772,1302.2192037379,-232.098480227297,-49.6117260490821,10.9801736426892
-33.6063165482517,1211.84543086023,1297.06250580694,-236.760734685085,-49.7931449564806,11.3028768658803
-34.5460098806841,1216.12912504356,1292.09263977009,-241.218445256379,-49.9627054632741,11.6195285550119
-35.4823224191332,1219.91653339777,1287.58929951863,-245.576679410191,-50.1079787175127,11.9315489165795
-36.4262247678338,1223.4805742422,1283.25423720568,-249.975575229083,-50.2415796102887,12.2452334022822
-37.364041026334,1226.88167498475,1279.06362964347,-254.274332691964,-50.3651607888158,12.55356101661
-38.3094347598176,1229.59792515726,1275.48772836932,-258.718025810958,-50.4568073320801,12.8669997056841
-39.255827262963,1232.44244606912,1271.79574674127,-262.85886841028,-50.5502578262273,13.1698286486032
-40.2069322127705,1234.80133167235,1268.57497175088,-266.996962251881,-50.619120572664,13.4721902521096
-41.1576094514621,1236.91064398631,1265.5815916524,-271.070493930447,-50.6742364382586,13.7710481379232
-42.1179820161364,1238.72908348385,1262.91142677167,-274.975707297847,-50.7116267466504,14.0651166096886
-43.071106573313,1239.73568280352,1261.02191580649,-278.99700932247,-50.7109651952028,14.3596483660813
-44.0329006935941,1240.71188195168,1259.19588415145,-282.810016032054,-50.7053709501234,14.6474345216575
-44.9976143350884,1241.38292107193,1257.68608286316,-286.485672991723,-50.6824300796139,14.9298453008676
-45.9647650784693,1241.89847269073,1256.36947716177,-289.970888244271,-50.6481191625962,15.205167132209
-46.9391852584245,1242.15116029944,1255.31190117886,-293.476850966193,-50.5987719451436,15.4807658697454
-47.9069823891086,1242.14390120725,1254.51013737224,-296.934755644214,-50.5350522715271,15.7523314030432
-48.8859492144523,1242.28122184409,1253.5958001219,-300.263460775363,-50.4737890362942,16.0196789149512
-49.8584025337232,1242.03215711166,1253.06322022886,-303.556514430176,-50.391996424972,16.2831238674948
-50.839470025769,1241.59198566941,1252.73273229976,-306.808369799785,-50.2981453771495,16.5449750098605
