Flexion,Posterior,Medial,Superior,Internal,Valgus
-11.7799195039942,650.128797048279,1675.63255243463,76.3287949838735,-28.0012621245248,-3.02836123661024
-12.7364460710892,657.444830211481,1672.84679721261,73.0928269580994,-28.2769369447504,-2.74123839656322
-13.7013188667955,660.644870298223,1671.67972180167,70.972623248269,-28.4126337774193,-2.48595211672844
-14.6638973623203,665.718847174681,1669.74032668483,68.2494710813351,-28.6105107550988,-2.21084006837247
-15.6064025229433,673.035070898388,1666.92539738403,64.363515351307,-28.8809064494483,-1.89956940624509
-16.533796216561,685.169924950217,1661.98843660164,58.7054950073788,-29.3166984420075,-1.53598964344661
-17.4346692399238,698.888117687592,1656.3629738136,50.9138288458935,-29.8022798368583,-1.10910772685729
-18.317440099304,717.028375732822,1648.58207889293,42.2628138059165,-30.4428560769413,-0.658109180089423
-19.1839435133758,740.273231664779,1638.1237841342,31.9756952000859,-31.2639241920193,-0.156867625678286
-20.0294673975196,767.038322283445,1625.46972606482,20.605531122977,-32.2145896380596,0.375207660934839
-20.8581409709747,794.816876447624,1611.66531196571,7.61223211811619,-33.2071088481911,0.957182274460652
-21.6631931246392,822.111518330915,1597.44659985633,-7.61578424219617,-34.1938450865367,1.60451683633504
-22.4777324256555,851.27010182639,1581.41153349446,-21.8863346280511,-35.2554166853598,2.22264864672073
-23.2954752021278,878.723080122547,1565.51779292382,-35.1763909300726,-36.2641269686777,2.80931195674639
-24.1308338634384,901.387194730831,1551.78709516847,-47.702791883418,-37.1028670614182,3.37467017374509
-24.9865794732372,923.461364243436,1537.86079619844,-58.2200401356587,-37.9213529002181,3.88049079196175
-25.8585273044302,938.727836165199,1527.88046638058,-67.6690740480737,-38.4885240530577,4.35063458728816
-26.7567254812796,950.736543757879,1519.82172990411,-75.5201986237458,-38.9319780044766,4.77319704807701
-27.6647487993652,961.064360706949,1512.72524911497,-82.2750306105065,-39.3111478942608,5.16168844417853
-28.5811047675208,969.826387633007,1506.59441364335,-88.3125745966785,-39.6286832945437,5.52784187595675
-29.5020841551005,977.891604770886,1500.86993485093,-93.6045081238221,-39.917282760756,5.87035380322168
-30.4322984901231,985.079131222859,1495.69320930933,-98.5800037367312,-40.1700286230428,6.20373892474459
-31.3631061418867,992.345470664457,1490.40797993659,-103.351309845948,-40.4230352623697,6.53015156133898
-32.3012867112277,998.547720485087,1485.80151525354,-108.017615028428,-40.6330332684409,6.85372686232549
-33.2360871804611,1004.86815260993,1481.0769969387,-112.525109761201,-40.8449622883928,7.17095001700302
-34.1748430828437,1010.20913865299,1476.98821035839,-116.967668989287,-41.0166552004443,7.48595382658028
-35.1127688503857,1014.91847470252,1473.32756763661,-121.292271069827,-41.1616386512006,7.79625925260555
-36.0563430781579,1019.70601133093,1469.5827182675,-125.607938625707,-41.3075530654858,8.10606803368591
-37.0039794642483,1024.07548088541,1466.09385999269,-129.925086858697,-41.43484314385,8.41571014972146
-37.944467433655,1028.69869098761,1462.40521794418,-134.111296161318,-41.5694234727213,8.71858690256065
-38.8903559868394,1032.72391934727,1459.11796634956,-138.301965859738,-41.67776540575,9.0217194146575
-39.8398720850018,1036.69510607684,1455.85391154352,-142.47093078775,-41.7815304465762,9.32372258433544
-40.7890415076964,1039.95795019797,1453.07964650577,-146.644648792831,-41.854274770426,9.62477997160449
-41.7406057214327,1043.40443318597,1450.15499482215,-150.703263154628,-41.9322431987858,9.92121720334201
