Flexion,Posterior,Medial,Superior,Internal,Valgus
-10.9511243110927,-686.634287093875,1629.96974343538,-271.032724981947,41.1517326165003,-1.31807060056758
-11.9012324417541,-686.664231017166,1630.68092076125,-266.575473314626,41.0586325557595,-1.58745173315162
-12.8427753782343,-685.419564695203,1631.9500641399,-262.046520206762,40.9193159827965,-1.8580099822181
-13.7839155472423,-683.806412342582,1633.26109919841,-258.073150842206,40.7677481294057,-2.11000931382318
-14.7307302442606,-682.551739620615,1634.39752085302,-254.07123574845,40.6268848743376,-2.36238887618096
-15.6803910505421,-681.150663012473,1635.55981810562,-250.130321180909,40.479878199149,-2.61213813030465
-16.6274994286715,-679.551945618471,1636.80471613857,-246.191721059062,40.3241715728167,-2.86002356842741
-17.571475885929,-677.920985808904,1638.02375889289,-242.32980265485,40.1670678879837,-3.10336253533813
-18.5215710885333,-676.442406174007,1639.14176055649,-238.569901674985,40.012664789009,-3.34285521531332
-19.4733421768946,-674.694568500467,1640.35162371163,-234.803785808991,39.8481402337303,-3.58076215897742
-20.4239999477385,-673.097324434692,1641.49476924084,-231.04087461329,39.6873589640819,-3.8172846075094
-21.3739169965574,-671.174156097404,1642.73009289477,-227.383048213982,39.5142296711512,-4.04895587538253
-22.3244583755691,-669.150068639952,1644.01728752758,-223.670533526262,39.3359734308582,-4.28040456328052
-23.2741577464386,-667.055515111884,1645.32135413934,-219.843929959664,39.1537958564306,-4.5134866925717
-24.2244400083316,-664.79992148311,1646.66775740743,-216.144321143223,38.9652259653436,-4.74067073980471
-25.177148780074,-662.309064866506,1648.06352082029,-212.690117602733,38.766890282581,-4.95880781370207
-26.1261190978319,-659.50061811942,1649.59483157732,-209.31941932233,38.556445562685,-5.17282754597972
-27.0814672084215,-656.794176230473,1651.05671865004,-205.904293816772,38.3479540986447,-5.38674790558839
-28.0330923319386,-653.700833329993,1652.65342757758,-202.539956666696,38.1251522417921,-5.59676306932401
-28.9819354642406,-650.757826564773,1654.18296203486,-199.197279716266,37.9070092870849,-5.80424300312451
-29.9389269819615,-647.676880866052,1655.7651972921,-195.725634750848,37.6810500303965,-6.01427747668752
-30.8929072107354,-644.591638317033,1657.33101597207,-192.269321104846,37.4548047344236,-6.22130947910569
-31.8478614939139,-641.454459174359,1658.88370559691,-188.900735033122,37.225233515285,-6.42368568302311
-32.8003135401966,-638.26227630466,1660.44004218596,-185.654825877796,36.9929864188118,-6.6200799889269
-33.755991730699,-634.913581211442,1662.0581969654,-182.340489449824,36.75416918412,-6.81684724116333
-34.7162915873328,-631.586876483923,1663.65969962431,-178.935615850977,36.5139823754843,-7.01454975150865
-35.6722663568256,-628.171666211592,1665.27349766086,-175.549587282195,36.2711154793595,-7.20888170162528
-36.6310905159148,-624.741666233479,1666.8711453973,-172.190863516398,36.0252296560114,-7.4008023711501
-37.5869521573671,-621.103433902835,1668.55909722592,-168.671994573855,35.7720475342841,-7.595445704613
-38.5447747152918,-617.435519693682,1670.25292263082,-165.117121383221,35.516248052481,-7.7891324066195
-39.504924136219,-613.790768080934,1671.90246862388,-161.734191907446,35.2599622522804,-7.9755711208436
-40.46486515201,-610.059255786442,1673.56005567751,-158.359958059241,35.000075824175,-8.15931575969061
-41.4229884446632,-606.571533249569,1675.12673494464,-154.905435451684,34.7473513706232,-8.34290433524739
-42.3906915531755,-603.130793087284,1676.64442849238,-151.658086575378,34.4941465839128,-8.51847349168168
-43.3510165781414,-599.554662612023,1678.18937703662,-148.479214130799,34.2364090201295,-8.68922439585421
-44.320721696986,-596.190929485882,1679.65256455639,-145.188836442644,33.9833620928548,-8.86164284639531
-45.2883409420845,-592.798141159869,1681.12338801931,-141.946547926972,33.7286236873569,-9.02961633135965
-46.2569569325222,-589.34340152544,1682.56712141612,-139.074147021135,33.4712948558437,-9.18337220155455
-47.224186317403,-585.97292264071,1683.97391671671,-136.227390698057,33.2154816977095,-9.33428106515624
-48.1984859586908,-582.702798589995,1685.35509662223,-133.199903740383,32.9612975535074,-9.48905293184679
-49.1739879351826,-580.041567469074,1686.498151671,-130.261903772927,32.7259079029933,-9.63860064160638
-50.1486309616575,-577.20704197763,1687.70913500363,-127.20213613973,32.4843253067413,-9.78906933269302
